sheet_row,pnr,company,seats,fare,reasons
7,8NN8S8,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","81380","EMD round 1 incomplete — missing payment %; no complete EMD round found"
43,42NGAJ,"COMPANY INVESTMENT","8","91144.9","duplicate PNR ""42NGAJ"" appears on 2 rows (43, 44)"
44,42NGAJ,"COMPANY INVESTMENT","22","91144.9","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""42NGAJ"" appears on 2 rows (43, 44)"
58,85U49J,"SKY PASS TRAVEL & TOUR (BILAL CHATHA)-RWP-B2B1985","20","75320","duplicate PNR ""85U49J"" appears on 2 rows (58, 59)"
59,85U49J,"COMPANY INVESTMENT","10","75320","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""85U49J"" appears on 2 rows (58, 59)"
60,85SWFB,"COMPANY INVESTMENT","21","75320","duplicate PNR ""85SWFB"" appears on 2 rows (60, 61)"
61,85SWFB,"COMPANY INVESTMENT","10","75320","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""85SWFB"" appears on 2 rows (60, 61)"
83,99F2ZM,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99F2ZM"" appears on 2 rows (83, 84)"
84,99F2ZM,"COMPANY INVESTMENT","20","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99F2ZM"" appears on 2 rows (83, 84)"
86,99F8O5,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99F8O5"" appears on 2 rows (86, 87)"
87,99F8O5,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99F8O5"" appears on 2 rows (86, 87)"
91,99JJYB,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99JJYB"" appears on 2 rows (91, 92)"
92,99JJYB,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99JJYB"" appears on 2 rows (91, 92)"
93,99H4M9,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99H4M9"" appears on 2 rows (93, 94)"
94,99H4M9,"COMPANY INVESTMENT","10","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99H4M9"" appears on 2 rows (93, 94)"
95,99FAMQ,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99FAMQ"" appears on 2 rows (95, 96)"
96,99FAMQ,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99FAMQ"" appears on 2 rows (95, 96)"
97,99FLZL,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99FLZL"" appears on 2 rows (97, 98)"
98,99FLZL,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99FLZL"" appears on 2 rows (97, 98)"
99,99HVRY,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99HVRY"" appears on 2 rows (99, 100)"
100,99HVRY,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99HVRY"" appears on 2 rows (99, 100)"
101,99HRU6,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99HRU6"" appears on 2 rows (101, 102)"
102,99HRU6,"COMPANY INVESTMENT","30","75390","EMD round 1 incomplete — missing payment %; no complete EMD round found; duplicate PNR ""99HRU6"" appears on 2 rows (101, 102)"
103,99JJUK,"TRAVEL NETWORK & TOURS-RWP-B2B2349","10","75390","duplicate PNR ""99JJUK"" appears on 2 rows (103, 104)"
